,bpp,psnr
101273515.png,0.24683316572714942,39.11396026611328
101822251.png,0.07405555555555556,48.36586380004883
104151457.png,0.2404888888888889,40.864444732666016
104610453.png,0.5702945113788488,37.14070129394531
104658003.png,0.1958387329013679,38.724639892578125
104838215.png,0.12435036496350366,41.00326919555664
104838217.png,0.18271137026239068,38.47149658203125
104850901.png,0.3657316017316017,36.324241638183594
104891305.png,0.5312148148148148,37.7159309387207
106622329.png,1.345735524256651,31.90497589111328
108119075.png,1.6096314102564102,32.06005859375
108135831.png,0.5051308451308452,36.757408142089844
110782595.png,1.0900234741784038,33.203338623046875
111491177.png,1.1780062305295949,32.1064338684082
112498075.png,0.5350129049655227,34.36699295043945
115413409.png,0.7712060301507537,34.99890899658203
115868863.png,0.3337712895377129,37.901878356933594
117516425.png,1.569443298969072,25.387020111083984
117565911.png,1.1444182389937108,32.19863510131836
117635683.png,0.45716402116402116,36.69709014892578
118444349.png,0.1572888888888889,42.40648651123047
120350989.png,0.9679547432550043,33.288421630859375
123361275.png,0.9377020796579156,32.92872619628906
123371415.png,0.6667392883079156,34.866973876953125
129015003.png,0.7208313725490195,35.51361083984375
130677537.png,0.5787159863945578,34.03926086425781
136307161.png,0.29714129841789416,37.027408599853516
136514775.png,0.8866311111111111,34.261268615722656
137803.png,0.36106538178411296,37.03072738647461
138265459.png,0.16671698113207548,40.77577209472656
138298143.png,0.5831818181818182,36.95049285888672
142246701.png,0.2511637931034483,41.0213508605957
143511989.png,0.2735820895522388,36.449615478515625
146341047.png,0.651229343006852,35.41322708129883
149701965.png,0.30214995483288165,37.017826080322266
150104395.png,0.11576041666666667,44.33468246459961
151252983.png,0.40201877934272306,37.7808837890625
154466623.png,2.14312962962963,31.174835205078125
154479207.png,0.9767222222222223,33.889034271240234
154479219.png,1.4863571033720289,30.223255157470703
154479221.png,1.3253267973856209,31.267059326171875
154479225.png,1.4368836805555554,30.82650375366211
154695159.png,0.31377870563674326,38.651756286621094
154741761.png,0.6643896762263068,33.903228759765625
155734287.png,1.1763529411764704,32.52289962768555
156047715.png,0.8355950457727517,34.6285285949707
15642096.png,0.30155290718671,39.08609390258789
156424119.png,0.35602024922118375,37.18602752685547
156431175.png,0.6065892972275951,36.30420684814453
158633139.png,0.23519955030916243,40.04210662841797
16011271.png,0.23884027777777778,39.04180908203125
160594541.png,0.12836879432624113,43.6970100402832
160594557.png,0.1413553979511426,43.281524658203125
160594603.png,0.3393065405831363,38.352630615234375
168599685.png,0.3839397909258616,39.110008239746094
168633991.png,0.5228739730679309,37.07085037231445
168635735.png,0.3496215655780197,37.86042404174805
172328207.png,0.17613270142180096,40.18048858642578
174274345.png,0.5729930191972077,38.136085510253906
174276011.png,0.6612636695018226,37.316001892089844
174285781.png,1.3091703703703703,31.244861602783203
197188317.png,0.635608888888889,32.853790283203125
29509483.png,0.08990222222222222,46.93456268310547
2982726.png,0.25559041394335513,40.076900482177734
35651217.png,1.0891841491841492,33.73518371582031
37944913.png,0.10923593618807724,44.9442138671875
38030057.png,0.7544859813084113,34.80449676513672
38030895.png,0.2555083996463307,39.56482696533203
44150041.png,0.5839092740364817,33.70386505126953
4627124.png,0.21899819972466375,39.960933685302734
49603987.png,0.11134166666666667,43.64008331298828
5340772.png,0.43854999999999994,36.43581008911133
54568941.png,0.3260597014925373,37.362281799316406
55510135.png,0.8852555555555555,34.057586669921875
58056739.png,0.8149392361111112,34.81199645996094
59445563.png,0.7383200000000001,30.192989349365234
60046917.png,0.6896895424836601,34.900508880615234
60046921.png,0.45536821705426356,36.659523010253906
63809311.png,0.57864262990456,36.73552703857422
68080071.png,0.5958647798742139,35.13983917236328
68080083.png,0.30014150943396223,38.96898651123047
68080085.png,0.4444182389937107,37.639732360839844
68206401.png,0.3501339285714286,36.74403762817383
69015431.png,0.33713939393939396,39.041351318359375
69508799.png,0.3060166666666666,37.50107192993164
70713847.png,0.27635052689961176,37.93390655517578
73450487.png,0.47648998822143696,37.20127487182617
73495799.png,0.3703044140030442,39.00944519042969
74035481.png,0.8458925750394944,34.149227142333984
74541829.png,0.3694426133450524,38.70259094238281
74542691.png,0.33597329342695986,39.09623336791992
8321871.png,0.25193798449612403,40.99834060668945
84501739.png,0.5041222459132907,36.377197265625
86223431.png,0.21232178414974112,38.384605407714844
87263133.png,0.14469901168014374,40.14432907104492
87699817.png,0.30141293645230177,37.12759017944336
88146381.png,1.5374065598779558,30.40827751159668
88146385.png,1.3539511999196707,30.25670051574707
96898977.png,0.5886909581646425,37.23183059692383
98404173.png,0.7741656365883807,33.39845275878906
