,psnr,msssim,bpp
0,33.88445281982422,19.501188278198242,1.0644124348958333
1,35.383663177490234,15.121350288391113,0.3692830403645833
2,37.56971740722656,18.09284019470215,0.29144287109375
3,35.51041793823242,16.539306640625,0.416748046875
4,34.11363220214844,20.193340301513672,1.0487874348958333
5,34.81831359863281,17.715896606445312,0.7541097005208334
6,37.59092712402344,20.710298538208008,0.42559814453125
7,33.703590393066406,19.826383590698242,0.994384765625
8,37.07149124145508,18.427730560302734,0.3128662109375
9,36.78044509887695,17.943803787231445,0.3306477864583333
10,34.98738098144531,17.320810317993164,0.625244140625
11,36.477256774902344,16.281272888183594,0.3157755533854167
12,32.76607894897461,18.762845993041992,1.5901285807291667
13,34.037254333496094,17.892578125,0.86749267578125
14,35.93359375,17.121849060058594,0.3942464192708333
15,35.86617660522461,17.348161697387695,0.47003173828125
16,36.157344818115234,18.05663299560547,0.422119140625
17,33.90597915649414,17.306474685668945,0.9193115234375
18,35.15719985961914,17.367448806762695,0.5412190755208334
19,36.63842010498047,18.565147399902344,0.3612060546875
20,35.16288757324219,18.13477325439453,0.6863606770833334
21,34.36069107055664,16.305307388305664,0.6584879557291666
22,37.63674545288086,18.104602813720703,0.26513671875
23,34.50453186035156,18.83958625793457,0.8967081705729166
