,bpp,psnr
101273515.png,0.1976768860308703,36.39311981201172
101822251.png,0.06063333333333334,45.667823791503906
104151457.png,0.18431111111111112,38.15627670288086
104610453.png,0.4470281124497992,34.2458610534668
104658003.png,0.16784737221022317,36.86322784423828
104838215.png,0.10083698296836983,39.29416275024414
104838217.png,0.15985422740524782,37.17393493652344
104850901.png,0.277073593073593,34.590057373046875
104891305.png,0.4222962962962963,35.176273345947266
106622329.png,1.0887089201877935,29.112476348876953
108119075.png,1.3015544871794873,29.463329315185547
108135831.png,0.4024453024453024,33.95931625366211
110782595.png,0.8457042253521126,30.520221710205078
111491177.png,0.9168224299065421,29.720497131347656
112498075.png,0.39214145383104126,32.68309783935547
115413409.png,0.6003517587939698,32.04176712036133
115868863.png,0.2581184103811841,35.63275909423828
117516425.png,1.1105567010309276,23.96078109741211
117565911.png,0.9011477987421384,29.89161491394043
117635683.png,0.3581164021164021,34.28351593017578
118444349.png,0.1329925925925926,39.907535552978516
120350989.png,0.7834464751958224,30.24010467529297
123361275.png,0.7369636076260682,30.387290954589844
123371415.png,0.5269571532316629,32.405330657958984
129015003.png,0.5464,32.7912712097168
130677537.png,0.4287159863945578,32.21636199951172
136307161.png,0.20339334424440808,34.51941680908203
136514775.png,0.7107022222222222,31.714176177978516
137803.png,0.2833299872850164,34.710601806640625
138265459.png,0.12653249475890985,38.30741882324219
138298143.png,0.4840730837789661,34.529144287109375
142246701.png,0.2012787356321839,38.675933837890625
143511989.png,0.20565505804311773,34.80219268798828
146341047.png,0.5029020556227327,33.065399169921875
149701965.png,0.22491056910569107,35.43992614746094
150104395.png,0.09442708333333333,42.63732147216797
151252983.png,0.31375586854460097,35.387359619140625
154466623.png,1.7502407407407408,28.215213775634766
154479207.png,0.7694333333333334,31.43479347229004
154479219.png,1.1439800995024876,27.533782958984375
154479221.png,1.0287690631808277,28.542236328125
154479225.png,1.1052170138888888,28.210041046142578
154695159.png,0.24062630480167013,36.04193115234375
154741761.png,0.5070142996062427,31.432106018066406
155734287.png,0.8981411764705882,29.51325225830078
156047715.png,0.6512977921378568,31.68494987487793
15642096.png,0.2836134277339649,36.576385498046875
156424119.png,0.28580218068535823,34.860321044921875
156431175.png,0.48702772404900063,33.517425537109375
158633139.png,0.19202922990444068,38.21237564086914
16011271.png,0.18222916666666664,36.606136322021484
160594541.png,0.10289992119779355,41.214874267578125
160594557.png,0.11639085894405045,40.992427825927734
160594603.png,0.2603782505910165,35.48793411254883
168599685.png,0.29646017699115046,36.603843688964844
168633991.png,0.4185520421091128,34.038421630859375
168635735.png,0.26792120269569725,35.40642166137695
172328207.png,0.13725750394944708,38.176082611083984
174274345.png,0.45697207678883073,35.21296691894531
174276011.png,0.5348319157553665,34.584678649902344
174285781.png,1.003511111111111,29.203907012939453
197188317.png,0.45583999999999997,31.034299850463867
29509483.png,0.07184,43.85206604003906
2982726.png,0.20413943355119826,37.46776580810547
35651217.png,0.8402952602952602,30.8958740234375
37944913.png,0.08599496221662468,41.998985290527344
38030057.png,0.5891692627206646,31.43865203857422
38030895.png,0.18293545534924846,37.0401725769043
44150041.png,0.43219480707377605,31.53839874267578
4627124.png,0.17100612208099236,37.440696716308594
49603987.png,0.09234166666666667,41.48554229736328
5340772.png,0.34695,34.410003662109375
54568941.png,0.2418407960199005,35.0797233581543
55510135.png,0.6890777777777778,31.538787841796875
58056739.png,0.6450086805555556,32.113529205322266
59445563.png,0.56296,28.878501892089844
60046917.png,0.5691666666666667,32.44377517700195
60046921.png,0.404515503875969,34.42664337158203
63809311.png,0.4502580417108519,33.88825607299805
68080071.png,0.468317610062893,32.43463897705078
68080083.png,0.2285691823899371,36.26150894165039
68080085.png,0.347688679245283,34.945438385009766
68206401.png,0.27001488095238096,34.81966781616211
69015431.png,0.26602828282828284,36.51737594604492
69508799.png,0.2502833333333333,35.62704086303711
70713847.png,0.21662784248474765,35.87528991699219
73450487.png,0.37453474676089515,34.61454772949219
73495799.png,0.27569254185692543,36.48493194580078
74035481.png,0.6785624012638231,31.24862289428711
74541829.png,0.28560643194789537,36.34386444091797
74542691.png,0.27261425117992405,36.73499298095703
8321871.png,0.20039621016365203,38.392616271972656
84501739.png,0.4025728500355366,33.914344787597656
86223431.png,0.16759060135404222,36.65852737426758
87263133.png,0.12083557951482479,38.729408264160156
87699817.png,0.22251216616489256,34.378936767578125
88146381.png,1.203859649122807,28.362485885620117
88146385.png,1.059648261576166,28.148780822753906
96898977.png,0.4640305892937472,34.562774658203125
98404173.png,0.5892459826946848,31.24040985107422
