,bpp,psnr
102402067.png,0.12975641025641027,33.67732620239258
102458737.png,0.1512111111111111,34.23311233520508
106281741.png,0.10461857379767828,35.16636657714844
110066427.png,0.19636184857423794,33.03089904785156
111917859.png,0.14434748427672953,33.781761169433594
111919241.png,0.2950387596899225,32.537593841552734
114543781.png,0.3486003683241253,30.30724334716797
115478507.png,0.32965571205007826,30.21184730529785
118330241.png,0.12830374753451676,31.38770294189453
118330257.png,0.45808678500986194,28.56838035583496
118709441.png,0.1616431924882629,34.627967834472656
119515911.png,0.28356269113149846,30.53997230529785
119526295.png,0.21397196261682244,32.55070877075195
121743615.png,0.29839111111111116,29.250377655029297
124352967.png,0.20440721649484533,34.25835418701172
124789901.png,0.14398900667451905,33.59587860107422
124816955.png,0.2083767344366858,33.052364349365234
125318347.png,0.07877463581833763,34.94418716430664
125349987.png,0.24406425702811244,32.64927291870117
126042149.PNG,0.18628930817610062,32.61476135253906
127023841.png,0.12534566270365477,33.12171936035156
127055405.png,0.1969056603773585,33.47357177734375
127056623.png,0.08223413762287757,37.400238037109375
128255809.png,0.15718525299354782,33.674232482910156
128287615.png,0.3987207207207207,29.38980484008789
132026369.png,0.16190717299578058,32.337310791015625
135648121.png,0.38741514360313317,28.85540008544922
135672051.png,0.5050380021715527,28.64678955078125
138910797.png,0.43970539133850534,26.70718002319336
139098589.png,0.26679597701149427,31.650419235229492
145787573.png,0.14640939597315436,35.35824966430664
146354313.png,0.15867777777777775,33.212589263916016
147966837.png,0.538994708994709,29.67928695678711
150336767.png,0.36372987828818215,28.071001052856445
151407735.png,0.27297604547300036,30.07308006286621
151482107.png,0.09355415352260778,38.758907318115234
151825043.png,0.18196951112668652,31.77951431274414
153956719.png,0.19380447585394583,31.57466697692871
154325693.png,0.13238831615120275,33.75257873535156
156080927.png,0.29249176728869375,29.811145782470703
156080933.png,0.4565641025641026,28.59037208557129
156542337.png,0.11578327444051825,35.47770690917969
157450569.png,0.46288428324697756,31.16379165649414
157992671.png,0.1733254809579898,30.472732543945312
158167507.PNG,0.1282899628252788,35.7945671081543
159646187.png,0.2015222222222222,33.404212951660156
159853259.png,0.46586096256684495,28.572154998779297
160081539.png,0.13183881064162756,36.601139068603516
160493651.png,0.474568190699492,28.089839935302734
161267117.png,0.37685615848406545,27.70296859741211
162282507.png,0.15751211631663975,31.91451072692871
162314287.png,0.11840740740740742,33.823760986328125
163126973.png,0.2397041420118343,32.087989807128906
169576549.png,0.27440921705491544,32.33424377441406
172068821.png,0.15029110516765423,35.840335845947266
173516315.png,0.21536687631027251,31.447093963623047
179667809.png,0.20267777777777776,31.32149887084961
179679531.png,0.14745547073791349,33.98552703857422
179690167.png,0.24935482850415125,32.47374725341797
180828921.png,0.37239259259259255,31.018165588378906
186022455.png,0.24177693761814745,30.665470123291016
1958468.png,0.1544927536231884,33.40037536621094
197205559.png,0.2455222222222222,31.150209426879883
199444993.png,0.18431952662721893,32.259368896484375
221438.png,0.19670205237084218,32.21965408325195
31842885.png,0.5233848592944907,29.389345169067383
45289045.png,0.1936925647451963,31.703819274902344
45375377.png,0.1616074074074074,32.785865783691406
47244987.png,0.27215431296055487,28.175140380859375
49015063.png,0.17189862542955325,34.08871841430664
56444641.png,0.3981512605042017,28.022249221801758
58404297.png,0.12622662266226622,34.067569732666016
60265677.png,0.269004854368932,30.95511245727539
60277591.png,0.17555454104074725,34.61461639404297
63827859.png,0.269693515704154,31.946046829223633
63886975.png,0.1892222222222222,34.54566955566406
67575531.png,0.09042615294804436,37.645694732666016
67576011.png,0.08604026845637583,38.63898849487305
69475239.png,0.355912043978011,30.027151107788086
69613955.png,0.1726294498381877,33.63102340698242
76058407.png,0.3477948717948718,32.02445602416992
76380577.png,0.16525555555555554,34.68058776855469
77118223.png,0.5769033530571992,28.443994522094727
77473993.png,0.08596666666666666,37.1182861328125
7774919.png,0.24885490196078433,32.953941345214844
78311347.png,0.3380081300813008,30.159788131713867
80235325.png,0.37107555555555555,28.809720993041992
81833355.png,0.5567834681042227,26.471569061279297
83070155.png,0.15962962962962962,33.51991271972656
83099009.png,0.17778846153846153,32.98788833618164
83726923.png,0.0767939368093755,39.220699310302734
83738625.png,0.25156565656565655,31.247617721557617
83738629.png,0.3704141208418194,30.1914119720459
83779715.png,0.07268445839874411,37.90939712524414
87142577.png,0.23640833333333333,32.05574417114258
89843707.png,0.13850837138508373,35.308746337890625
92631637.png,0.1391296779808529,36.10524368286133
96014701.png,0.09327928818586258,37.14592742919922
99840293.png,0.22873111782477343,33.70176696777344
99847321.png,0.18537037037037038,35.11064910888672
